frame_query,tempo_query_s,frame_reference,tempo_reference_s,costo_locale
0,0.0,0,0.0,0.6623
5,0.1,5,0.083,0.66012
10,0.2,10,0.167,0.65886
15,0.3,15,0.25,0.6574
20,0.4,20,0.334,0.66149
25,0.5,25,0.417,0.66011
30,0.6,30,0.501,0.6651
35,0.7,35,0.584,0.6575
40,0.8,40,0.667,0.65639
45,0.9,45,0.751,0.65551
50,1.0,50,0.834,0.65706
55,1.1,55,0.918,0.65931
60,1.2,60,1.001,0.65726
65,1.3,65,1.084,0.65757
70,1.4,70,1.168,0.65745
75,1.5,75,1.251,0.64913
80,1.6,80,1.335,0.64691
85,1.7,85,1.418,0.6414
90,1.8,90,1.502,0.64068
95,1.9,95,1.585,0.63734
100,2.0,100,1.668,0.63767
105,2.1,105,1.752,0.64139
110,2.2,110,1.835,0.63963
115,2.3,115,1.919,0.64676
120,2.4,120,2.002,0.64343
125,2.5,125,2.085,0.64445
130,2.6,130,2.169,0.64244
135,2.7,135,2.252,0.64056
140,2.8,140,2.336,0.64054
145,2.9,145,2.419,0.64328
150,3.0,150,2.502,0.63607
155,3.1,155,2.586,0.63839
160,3.2,160,2.669,0.63088
165,3.3,165,2.753,0.63175
170,3.4,170,2.836,0.63318
175,3.5,175,2.92,0.63383
180,3.6,180,3.003,0.6374
185,3.7,185,3.086,0.63708
190,3.8,190,3.17,0.64132
195,3.9,195,3.253,0.64062
200,4.0,200,3.337,0.63869
205,4.1,205,3.42,0.64377
210,4.2,210,3.504,0.64311
215,4.3,215,3.587,0.64168
220,4.4,220,3.67,0.64262
225,4.5,225,3.754,0.64188
230,4.6,230,3.837,0.6459
235,4.7,235,3.921,0.64819
240,4.8,240,4.004,0.65318
245,4.9,245,4.087,0.65092
250,5.0,250,4.171,0.65962
255,5.1,255,4.254,0.66384
260,5.2,260,4.338,0.66215
265,5.3,265,4.421,0.66089
270,5.4,270,4.505,0.66191
275,5.5,275,4.588,0.66483
280,5.6,280,4.671,0.67491
285,5.7,285,4.755,0.67863
290,5.8,290,4.838,0.68095
295,5.9,295,4.922,0.684
300,6.0,300,5.005,0.6909
305,6.1,305,5.088,0.69655
310,6.2,310,5.172,0.70315
315,6.3,315,5.255,0.70749
320,6.4,320,5.339,0.71555
325,6.5,325,5.422,0.71506
330,6.6,330,5.506,0.72504
335,6.7,335,5.589,0.72992
340,6.8,340,5.672,0.73429
345,6.9,345,5.756,0.74459
350,7.0,350,5.839,0.752
355,7.1,355,5.923,0.75265
360,7.2,360,6.006,0.76231
365,7.3,365,6.089,0.77206
370,7.4,370,6.173,0.776
375,7.5,375,6.256,0.78152
380,7.6,380,6.34,0.78685
385,7.7,385,6.423,0.78883
390,7.8,390,6.506,0.79356
395,7.9,395,6.59,0.79589
400,8.0,400,6.673,0.79889
405,8.1,405,6.757,0.7996
410,8.2,410,6.84,0.81339
415,8.3,415,6.924,0.80755
420,8.4,420,7.007,0.80999
425,8.5,425,7.09,0.81572
430,8.6,430,7.174,0.81621
435,8.7,435,7.257,0.81638
440,8.8,440,7.341,0.8203
445,8.9,445,7.424,0.81818
450,9.0,450,7.508,0.82298
455,9.1,455,7.591,0.82903
460,9.2,460,7.674,0.82631
465,9.3,465,7.758,0.82578
470,9.4,470,7.841,0.83019
475,9.5,475,7.925,0.82458
480,9.6,480,8.008,0.82104
485,9.7,485,8.091,0.81812
490,9.8,490,8.175,0.81495
495,9.9,495,8.258,0.81532
500,10.0,500,8.342,0.80679
505,10.1,505,8.425,0.8119
510,10.2,510,8.508,0.80891
515,10.3,515,8.592,0.80666
520,10.4,520,8.675,0.80278
525,10.5,525,8.759,0.80057
530,10.6,530,8.842,0.79929
535,10.7,535,8.926,0.7931
