epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,308.523,1.78477,3.2943,1.87219,1.39227,0,0.39622,0.29372,0.25252,0.13765,0.28266,0.21574,0.13903,0.05524,1.89486,3.35588,1.76832,1.39045,0,0.000475773,0.000475773,0.000475773
2,620.643,1.69102,3.04707,1.54592,1.3353,0,0.45624,0.32425,0.30022,0.1678,0.37478,0.2595,0.19393,0.07504,1.76341,3.09576,1.57792,1.36116,0,0.000933255,0.000933255,0.000933255
3,940.281,1.66382,3.00658,1.48476,1.3212,0,0.45696,0.32608,0.3084,0.1792,0.3811,0.26209,0.2049,0.07914,1.78389,3.13757,1.52821,1.33546,0,0.00137187,0.00137187,0.00137187
4,1259.62,1.64223,2.96476,1.44379,1.30778,0,0.47729,0.3398,0.31966,0.18475,0.39812,0.283,0.22033,0.08617,1.72949,3.07251,1.50366,1.30835,0,0.00134412,0.00134412,0.00134412
5,1580.24,1.60906,2.92278,1.40266,1.28894,0,0.48938,0.34207,0.32353,0.18786,0.41869,0.28894,0.23378,0.09062,1.69998,3.03118,1.46769,1.30353,0,0.00131582,0.00131582,0.00131582
6,1892.84,1.58769,2.89382,1.37442,1.27599,0,0.4787,0.3448,0.32817,0.19391,0.40181,0.28966,0.23356,0.09417,1.66271,3.01384,1.43852,1.28854,0,0.00128753,0.00128753,0.00128753
7,2207.14,1.5665,2.87953,1.35407,1.26666,0,0.49085,0.35479,0.33883,0.20269,0.41028,0.2926,0.2399,0.09403,1.66865,3.03457,1.40306,1.27277,0,0.00125923,0.00125923,0.00125923
8,2516.92,1.54466,2.8557,1.33169,1.25752,0,0.48534,0.35203,0.3406,0.2021,0.42214,0.30078,0.25174,0.10196,1.65866,2.97334,1.40491,1.26679,0,0.00123094,0.00123094,0.00123094
9,2823.69,1.53188,2.82375,1.31357,1.24977,0,0.50204,0.35568,0.34199,0.20534,0.43175,0.30196,0.24383,0.09648,1.63201,2.96887,1.40549,1.26014,0,0.00120265,0.00120265,0.00120265
10,3132.34,1.51899,2.81391,1.30233,1.241,0,0.50114,0.36358,0.35032,0.21188,0.43924,0.31069,0.26304,0.10345,1.64129,2.97295,1.36347,1.25361,0,0.00117435,0.00117435,0.00117435
11,3439.84,1.51061,2.7961,1.28646,1.23413,0,0.50096,0.37116,0.35443,0.21676,0.42964,0.31081,0.25884,0.10339,1.60878,2.92435,1.34685,1.24077,0,0.00114606,0.00114606,0.00114606
12,3748,1.49503,2.7798,1.27251,1.22553,0,0.50808,0.36491,0.35574,0.21757,0.43759,0.30653,0.25939,0.10475,1.608,2.92669,1.33958,1.2416,0,0.00111776,0.00111776,0.00111776
13,4054.72,1.48523,2.77572,1.26,1.22118,0,0.49842,0.37687,0.36259,0.22342,0.44235,0.32057,0.27511,0.11114,1.58131,2.90953,1.32335,1.22209,0,0.00108947,0.00108947,0.00108947
