epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,705.25,1.67493,3.22446,1.71025,1.35979,0,0.48163,0.34416,0.32981,0.19926,0.4187,0.29392,0.24174,0.0984,1.59002,2.97777,1.37246,1.25554,0,0.00997647,0.00332549,0.00997647,0.00332549,0.00997647,0.00332549,0.00997647,0.00332549
2,1435.32,1.51028,2.83039,1.30445,1.24163,0,0.46766,0.35942,0.33167,0.19716,0.40634,0.30143,0.2394,0.09457,1.63567,2.98502,1.40599,1.26752,0,0.0198446,0.00661488,0.0198446,0.00661488,0.0198446,0.00661488,0.0198446,0.00661488
3,2169.63,1.55641,2.84902,1.33046,1.26157,0,0.45221,0.34694,0.31875,0.18324,0.3832,0.29271,0.2241,0.08403,1.71889,3.10228,1.49691,1.33091,0,0.0295808,0.00986026,0.0295808,0.00986026,0.0295808,0.00986026,0.0295808,0.00986026
4,2896.53,1.57573,2.8375,1.34173,1.27582,0,0.48087,0.35677,0.33566,0.19539,0.4095,0.30802,0.24355,0.0933,1.68695,3.04915,1.42724,1.30905,0,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,3609.69,1.54072,2.79295,1.30586,1.25777,0,0.49132,0.36737,0.35121,0.20946,0.42828,0.31677,0.26498,0.10384,1.64138,2.99702,1.3547,1.27569,0,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,4422.07,1.51007,2.74043,1.26627,1.23563,0,0.50825,0.37899,0.35863,0.21636,0.45966,0.34023,0.28611,0.11544,1.60431,2.88305,1.34166,1.25569,0,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,5111.02,1.48737,2.69949,1.24222,1.22462,0,0.5193,0.3838,0.36835,0.22267,0.46453,0.33151,0.28488,0.11497,1.57511,2.90688,1.31655,1.23825,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,5804.42,1.45772,2.65314,1.21552,1.21144,0,0.52189,0.38863,0.37468,0.23066,0.47485,0.34455,0.30198,0.1235,1.56852,2.87015,1.27751,1.22233,0,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,6499.63,1.44471,2.62229,1.19649,1.2019,0,0.51717,0.37974,0.37071,0.22807,0.46727,0.34076,0.30111,0.12461,1.54248,2.73895,1.292,1.22829,0,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,7245.54,1.43063,2.61436,1.18201,1.19364,0,0.54084,0.39747,0.38906,0.23978,0.48883,0.35107,0.30998,0.12801,1.5297,2.79345,1.25545,1.20572,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,7955.75,1.42109,2.60026,1.1691,1.18786,0,0.53983,0.40297,0.39124,0.2432,0.49354,0.35865,0.3197,0.13475,1.51411,2.73019,1.23627,1.198,0,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,8665.05,1.39704,2.55292,1.14554,1.17332,0,0.54467,0.39629,0.39305,0.24428,0.50291,0.35861,0.32619,0.13661,1.51135,2.73497,1.2255,1.18801,0,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,9455.15,1.39157,2.54292,1.13813,1.17091,0,0.54037,0.40879,0.39951,0.24931,0.48245,0.36361,0.32351,0.13469,1.50206,2.68704,1.21447,1.18813,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,10171.8,1.3869,2.52693,1.12959,1.16648,0,0.54477,0.40444,0.39881,0.24927,0.49859,0.35925,0.3267,0.13798,1.50196,2.73035,1.21025,1.18831,0,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,10884.7,1.37553,2.5098,1.12035,1.16552,0,0.54485,0.40917,0.4024,0.2525,0.49617,0.36125,0.32696,0.14064,1.48255,2.66089,1.19696,1.17666,0,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,11613.5,1.36215,2.49029,1.10638,1.15965,0,0.55868,0.40825,0.40533,0.25518,0.51392,0.36858,0.33956,0.14488,1.47335,2.65487,1.18521,1.17985,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,12333.2,1.35395,2.47604,1.09884,1.14966,0,0.55714,0.41759,0.41131,0.25837,0.5113,0.3732,0.342,0.14937,1.4571,2.60722,1.17084,1.16662,0,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,13050.8,1.34859,2.46736,1.09154,1.14773,0,0.55267,0.41151,0.40553,0.25533,0.50485,0.3703,0.33747,0.14437,1.4737,2.67528,1.17882,1.16885,0,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,13756.5,1.34176,2.45353,1.08302,1.14718,0,0.5741,0.41217,0.41386,0.26173,0.52719,0.37131,0.34874,0.15208,1.45107,2.62617,1.15672,1.16133,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,14457.2,1.33346,2.43548,1.0694,1.14006,0,0.55541,0.41683,0.41382,0.26259,0.50901,0.37486,0.34559,0.15093,1.4388,2.58418,1.16133,1.15619,0,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,15169.8,1.33071,2.4332,1.068,1.13672,0,0.5669,0.42014,0.41878,0.2637,0.52647,0.37328,0.34736,0.15097,1.45606,2.60628,1.15277,1.16372,0,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,15891.6,1.32227,2.41593,1.06008,1.13397,0,0.56245,0.4149,0.41264,0.25998,0.52062,0.37194,0.34628,0.15001,1.46365,2.63479,1.1681,1.16552,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,16597.1,1.31519,2.40307,1.0503,1.13175,0,0.57073,0.41833,0.4175,0.26406,0.52154,0.37683,0.34998,0.15258,1.44076,2.59854,1.15158,1.15904,0,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,17314.2,1.31158,2.40216,1.04505,1.13119,0,0.57135,0.42223,0.42028,0.26787,0.52424,0.37961,0.35011,0.15367,1.42766,2.5598,1.13924,1.14954,0,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,18036.9,1.30442,2.39013,1.03906,1.12444,0,0.5793,0.41736,0.42165,0.26721,0.53348,0.37239,0.35065,0.15365,1.43746,2.60765,1.14496,1.14844,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,18800.1,1.30181,2.37943,1.03494,1.12349,0,0.57214,0.4134,0.4163,0.26456,0.52769,0.37861,0.35426,0.15462,1.43352,2.62104,1.14767,1.15767,0,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,19520.5,1.29265,2.36851,1.02474,1.11745,0,0.58227,0.42343,0.42553,0.27086,0.53361,0.38129,0.3596,0.15754,1.42712,2.57144,1.12829,1.14561,0,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
28,20247.2,1.29367,2.36816,1.02655,1.12039,0,0.56881,0.42738,0.42694,0.2723,0.52834,0.38181,0.35798,0.15732,1.41071,2.5448,1.12452,1.14371,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
29,20982.4,1.28817,2.35876,1.01752,1.115,0,0.57973,0.42302,0.42484,0.2703,0.52325,0.38537,0.35784,0.15735,1.42757,2.55654,1.12966,1.14822,0,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
30,21714,1.2801,2.34797,1.01347,1.1133,0,0.57595,0.42804,0.42606,0.27151,0.53469,0.38442,0.36234,0.16099,1.42656,2.56873,1.12277,1.1466,0,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
31,22436.9,1.28309,2.35302,1.00907,1.11036,0,0.57728,0.42277,0.42242,0.26771,0.53284,0.38203,0.35755,0.15733,1.43602,2.6027,1.13314,1.15555,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
32,23159.6,1.27951,2.33265,1.00235,1.10848,0,0.5808,0.42543,0.42738,0.2737,0.54093,0.38501,0.36658,0.16358,1.41805,2.52804,1.11969,1.14021,0,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,23889.6,1.27124,2.33222,0.99818,1.10713,0,0.5824,0.42672,0.42909,0.27358,0.53387,0.38775,0.36543,0.16038,1.41622,2.56353,1.12263,1.14165,0,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,644.546,1.26619,2.31837,0.99033,1.1034,0,0.57433,0.43395,0.43031,0.27421,0.52918,0.39108,0.36364,0.16084,1.41596,2.53136,1.11264,1.13849,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,1415.21,1.26331,2.31384,0.991,1.10425,0,0.58929,0.42749,0.43082,0.27516,0.54441,0.38498,0.36437,0.16292,1.41212,2.54848,1.11197,1.13755,0,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,2120.1,1.26119,2.31362,0.98038,1.09964,0,0.58448,0.42635,0.42967,0.27311,0.54002,0.38829,0.36809,0.16292,1.41636,2.53126,1.11149,1.13868,0,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,2829.47,1.25695,2.30312,0.98039,1.10231,0,0.58871,0.42754,0.42978,0.27283,0.53104,0.38682,0.3617,0.16121,1.41815,2.56998,1.11084,1.13914,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,3540,1.25112,2.30671,0.97682,1.09885,0,0.5787,0.42974,0.4293,0.27375,0.53519,0.38734,0.36268,0.16057,1.41132,2.54489,1.10962,1.13342,0,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,4271.83,1.25007,2.29673,0.96736,1.09435,0,0.58813,0.43062,0.43197,0.27415,0.53634,0.39096,0.36683,0.16323,1.40349,2.51989,1.10704,1.13917,0,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,5018.98,1.2493,2.29167,0.96424,1.09346,0,0.58774,0.42863,0.43251,0.27535,0.54155,0.38989,0.37008,0.16359,1.41169,2.52756,1.10344,1.13612,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
